player_name,team,season,injury_reason,out_date,return_date,days_out,pre_avg_pts,pre_avg_reb,pre_avg_ast,pre_avg_min,post_pts,post_reb,post_ast,post_min,post_avg_pts,post_avg_reb,post_avg_ast,post_avg_min,age,injury_type,laterality,games_missed
"Adams, Steven",Houston Rockets,2024-25,Injury/Illness - Right Knee; Injury Recovery,2024-11-17,2024-11-26,9,2.8333333333333335,3.0,1.3333333333333333,12.666666666666666,"[4, 2, 8, 4, 6, 7, 14, 4, 3, 0, 4, 1, 11, 6, 3, 3, 2, 4, 0, 0]","[6, 8, 12, 7, 3, 7, 12, 8, 6, 0, 9, 4, 17, 8, 8, 3, 2, 5, 0, 0]","[1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 3, 1, 1, 2, 6, 1, 1, 5, 0, 0]","[17, 17, 23, 16, 12, 25, 22, 20, 23, 0, 22, 11, 23, 18, 19, 15, 8, 19, 0, 5]",4.3,6.25,1.3,15.75,31,Knee,right,4
"Adams, Steven",Houston Rockets,2024-25,Injury/Illness - Left Ankle; Soreness,2025-01-20,2025-01-28,8,3.3,6.5,1.1,11.7,"[4, 2, 8, 4, 6, 7, 14, 4, 3, 0, 4, 1, 11, 6, 3, 3, 2, 4, 0, 0]","[6, 8, 12, 7, 3, 7, 12, 8, 6, 0, 9, 4, 17, 8, 8, 3, 2, 5, 0, 0]","[1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 3, 1, 1, 2, 6, 1, 1, 5, 0, 0]","[17, 17, 23, 16, 12, 25, 22, 20, 23, 0, 22, 11, 23, 18, 19, 15, 8, 19, 0, 5]",4.3,6.25,1.3,15.75,31,Ankle,left,4
"Adams, Steven",Houston Rockets,2024-25,Injury/Illness - Left Ankle; Soreness,2025-02-09,2025-02-22,13,6.4,7.6,1.4,18.8,"[4, 2, 8, 4, 6, 7, 14, 4, 3, 0, 4, 1, 11, 6, 3, 3, 2, 4, 0]","[6, 8, 12, 7, 3, 7, 12, 8, 6, 0, 9, 4, 17, 8, 8, 3, 2, 5, 0]","[1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 3, 1, 1, 2, 6, 1, 1, 5, 0]","[17, 17, 23, 16, 12, 25, 22, 20, 23, 0, 22, 11, 23, 18, 19, 15, 8, 19, 0]",4.526315789473684,6.578947368421052,1.368421052631579,16.31578947368421,31,Ankle,left,6
"Adebayo, Bam",Miami Heat,2023-24,Injury/Illness - Left Hip; Contusion,2023-11-25,2023-11-25,0,22.9,11.3,4.5,34.8,"[17, 19, 8, 10, 20, 18, 14, 15, 22, 21, 24, 15, 12, 20, 20, 22, 17, 16, 5, 14]","[6, 6, 3, 7, 12, 12, 11, 9, 10, 12, 9, 16, 10, 13, 17, 9, 13, 16, 10, 9]","[2, 3, 0, 7, 3, 6, 3, 1, 5, 9, 5, 3, 1, 6, 3, 2, 3, 2, 4, 5]","[19, 25, 30, 48, 37, 33, 29, 33, 37, 26, 39, 28, 30, 32, 38, 29, 34, 35, 31, 37]",16.45,10.5,3.65,32.5,26,Hip,left,0
"Adebayo, Bam",Miami Heat,2023-24,Injury/Illness - Left Hip; Contusion,2023-12-02,2023-12-16,14,22.7,10.4,3.9,33.4,"[17, 19, 8, 10, 20, 18, 14, 15, 22, 21, 24, 15, 12, 20, 20, 22, 17, 16, 5, 14]","[6, 6, 3, 7, 12, 12, 11, 9, 10, 12, 9, 16, 10, 13, 17, 9, 13, 16, 10, 9]","[2, 3, 0, 7, 3, 6, 3, 1, 5, 9, 5, 3, 1, 6, 3, 2, 3, 2, 4, 5]","[19, 25, 30, 48, 37, 33, 29, 33, 37, 26, 39, 28, 30, 32, 38, 29, 34, 35, 31, 37]",16.45,10.5,3.65,32.5,26,Hip,left,7
"Adebayo, Bam",Miami Heat,2023-24,Injury/Illness - Lower Back; Contusion,2024-03-20,2024-03-20,0,17.7,10.9,3.2,34.1,"[17, 19, 8, 10, 20, 18, 14, 15, 22, 21, 24, 15, 12]","[6, 6, 3, 7, 12, 12, 11, 9, 10, 12, 9, 16, 10]","[2, 3, 0, 7, 3, 6, 3, 1, 5, 9, 5, 3, 1]","[19, 25, 30, 48, 37, 33, 29, 33, 37, 26, 39, 28, 30]",16.53846153846154,9.461538461538462,3.6923076923076925,31.846153846153847,26,Back,,0
"Agbaji, Ochai",Toronto Raptors,2023-24,Injury/Illness - Right Hip; Contusion,2024-03-31,2024-04-03,3,8.0,4.0,1.7,27.2,"[10, 7, 7, 2, 9, 3]","[6, 1, 1, 3, 3, 8]","[2, 2, 1, 1, 1, 3]","[33, 25, 34, 29, 28, 35]",6.333333333333333,3.6666666666666665,1.6666666666666667,30.666666666666668,23,Hip,right,2
"Agbaji, Ochai",Toronto Raptors,2024-25,Injury/Illness - Left Hip; Pointer,2025-01-09,2025-01-09,0,8.9,2.9,1.4,25.9,"[14, 24, 15, 15, 9, 12, 9, 2, 9, 19, 3, 10, 8, 5, 2, 15, 11, 11, 8, 14]","[2, 6, 3, 3, 3, 8, 4, 7, 5, 3, 0, 4, 5, 2, 3, 3, 4, 5, 8, 3]","[1, 0, 2, 1, 2, 2, 3, 3, 1, 2, 0, 0, 1, 0, 2, 0, 1, 2, 1, 2]","[38, 36, 30, 21, 25, 22, 30, 30, 26, 25, 1, 31, 24, 19, 18, 25, 27, 32, 30, 22]",10.75,4.05,1.3,25.6,24,Hip,left,0
"Agbaji, Ochai",Toronto Raptors,2024-25,Injury/Illness - Right Hand; Laceration,2025-01-21,2025-01-21,0,7.1,2.6,1.3,22.8,"[14, 24, 15, 15, 9, 12, 9, 2, 9, 19, 3, 10, 8, 5, 2, 15, 11, 11, 8, 14]","[2, 6, 3, 3, 3, 8, 4, 7, 5, 3, 0, 4, 5, 2, 3, 3, 4, 5, 8, 3]","[1, 0, 2, 1, 2, 2, 3, 3, 1, 2, 0, 0, 1, 0, 2, 0, 1, 2, 1, 2]","[38, 36, 30, 21, 25, 22, 30, 30, 26, 25, 1, 31, 24, 19, 18, 25, 27, 32, 30, 22]",10.75,4.05,1.3,25.6,24,Hand/Wrist,right,0
"Agbaji, Ochai",Toronto Raptors,2024-25,Injury/Illness - Right Hand; Laceration,2025-01-25,2025-01-25,0,7.1,2.6,1.3,22.8,"[14, 24, 15, 15, 9, 12, 9, 2, 9, 19, 3, 10, 8, 5, 2, 15, 11, 11, 8, 14]","[2, 6, 3, 3, 3, 8, 4, 7, 5, 3, 0, 4, 5, 2, 3, 3, 4, 5, 8, 3]","[1, 0, 2, 1, 2, 2, 3, 3, 1, 2, 0, 0, 1, 0, 2, 0, 1, 2, 1, 2]","[38, 36, 30, 21, 25, 22, 30, 30, 26, 25, 1, 31, 24, 19, 18, 25, 27, 32, 30, 22]",10.75,4.05,1.3,25.6,24,Hand/Wrist,right,0
